fsid,anatid,age,sessid
ZCM05_T1w1_final_edited,ZCM05,5.76055634270382,ZCM05
MEC05_T1w1_Final2_edited,MEC05,5.92756867013012,MEC05
RHSA06_T1w1_final_edited,RHSA06,6.17945611477306,RHSA06
INW06_final_edited,INW06,6.80643681937343,INW06
AlS07_edited,AlS07,7.23081240545665,AlS07
SDS07_T1w1_final_edited,SDS07,7.87695845910594,SDS07
SM08_edited,SM08,9.17746428742548,SM08
MDT09_T1w1_final_edited,MDT09,9.55529545438989,MDT09
LEE09_T1w1_final_edited,LEE09,9.74694894487909,LEE09
GEJA09_T1w1_final_edited,GEJA09,9.23769824157922,GEJA09
DAPA10_final_edited,DAPA10,11.2829147757996,DAPA10
AG10_T1w1_final_edited,AG10,10.954365934961,AG10
STM10_T1w1_final_edited,STM10,10.6039138380665,STM10
SERA10_T1w1_final_edited,SERA10,10.6641477922202,SERA10
KW10_edited,KW10,10.6778373272552,KW10
NW10_edited,NW10,10.8448496546815,NW10
RJM10_edited,RJM10,10.4670184877171,RJM10
AyS10,AyS10,10.7079543043321,AyS10
CGSA11_final,CGSA11,12.3534364155321,CGSA11
MFC11_final_edited,MFC11,11.7894275720925,MFC11
JTE11_T1w1_final_edited,JTE11,11.9728673415607,JTE11
JDB11_edited,JDB11,11.4773061732958,JDB11
LL11,LL11,11.5484917554775,LL11
CS11,CS11,11.8140687351554,CS11
OS12_fixed,OS12,12.386291299616,OS12
CLC06_edited,CLC06,6.50800495561168,CLC06
RJ09,RJ09,9.3855452199566,RJ09
KG22_edited,KG22,22.8670031250166,KG22/KG22_150201_time_01_1
CS22_edited,CS22,22.5767868836002,CS22/CS22_150322_time_01_1
JH22_edited,JH22,22.4097745561739,JH22/JH22_150227_time_01_2
MJW22,MJW22,22.2975222702116,MJW22/MJW22_150415_time_01_1
natalia,NAV22,22.6780894428587,NAV22/NAV22_150329_time_01_1
ML23_edited,ML23,23.5460078653984,ML23/ML23_150314_time_01_1
EA23_edited,EA23,23.8526496475325,EA23/EA23_150208_time_01_1
JEW23,JEW23,23.4885118182516,JEW23/JEW23_150322_time_01_1
GB23_edited,GB23,22.9108115384528,GB23/GB23_150301_time_01_1
JP23_edited,JP23,22.9737795969649,JP23/JP23_150210_time_01_2
SL23_edited,SL23,22.0346831975408,SL23/SL23_150321_time_01_1
MW23_edited,MW23,23.3543619802065,MW23/MW23_140720_time_01_1
LB23_T1w1_final,LB23,23.0833072851903,LB23/LB23_140706_time_01_1
MBA24,MBA24,24.7096164420442,MBA24/MBA24_150227_time_01_1
TL24_edited,TL24,23.1106806512872,TL24/TL24_150310_time_01_1
jesse_T1_4run_avg,JG24,23.9183575143759,JG24/JG24_140117_time_01_1
AWMS24_QMR,AWMS24,23.8827780325552,AMWS24/AMWS24_140611_time_01_1
BM24_edited,BM24,24.1565687332541,BM24/BM24_150726_time_01_1
NC24_edited,NC24,24.3892832235509,NC24/NC24_150321_time_01_1
CB24_edited,CB24,24.6001001617647,CB24/CB24_151102_time_01_1
CR24,CR24,23.9183613170245,CR24/CR24_150307_time_01_1
AI24_edited,AI24,24.3345250834111,AI24/AI24_150309_time_01_1
AD25_edited,AD25,25.8266805995712,AD25/AD25_150226_time_01_1
JM25_edited,JM25,24.8848424904915,JM25/JM25_150324_time_01_1
michaelb_QMR_4run_t1w,MB26,26.0019047466942,MB26/MB26_150426_time_01_1
MC26_edited,MC26,26.4837782812485,MC26/MC26_150211_time_01_1
MMC27_edited,MMC27,27.5926344217274,MMC27/MMC27_150321_time_01_1
MSH28_edited,MSH28,28.6001842002992,MSH28/MSH28_150401_time_01_1
