dist_id,corr_id,endpoint_id
ZCM05_07132014,ZCM05,ZCM05_T1w1_final_edited
MEC05_09282014,MEC05,MEC05_T1w1_Final2_edited
RHSA06_06292014,RHSA06,RHSA06_T1w1_final_edited
INW06_09212014,INW06,INW06_final_edited
AlS07_08152015,AlS07,AlS07_edited
SDS07_05112014,SDS07,SDS07_T1w1_final_edited
SM08_04172016,SM08,SM08_edited
MDT09_07262014,MDT09,MDT09_T1w1_final_edited
LEE09_06242014,LEE09,LEE09_T1w1_final_edited
GEJA09_07262014,GEJA09,GEJA09_T1w1_final_edited
DAPA10_10042014,DAPA10,DAPA10_final_edited
AG10_07192014,AG10,AG10_T1w1_final_edited
STM10_05112014-jesse,STM10,STM10_T1w1_final_edited
SERA10_06292014,SERA10,SERA10_T1w1_final_edited
KW10_03152015,KW10,KW10_edited
NW10_04122015,NW10,NW10_edited
RJM10_04252015,RJM10,RJM10_edited
AyS10_08152015,AyS10,AyS10
CGSA11_09072014,CGSA11,CGSA11_final
MFC11_08172014,MFC11,MFC11_final_edited
JTE11_06242014,JTE11,JTE11_T1w1_final_edited
JDB11_04012015,JDB11,JDB11_edited
LL11_07192015,LL11,LL11
CS11_11052015,CS11,CS11
OS12_07292014,OS12,OS12_fixed
CLC06_03232015,CLC06,CLC06_edited
RJ09_08172015,RJ09,RJ09
KG22_02142015,KG22/KG22_150201_time_01_1,KG22_edited
CS22_03222015,CS22/CS22_150322_time_01_1,CS22_edited
JH22_03192015,JH22/JH22_150227_time_01_2,JH22_edited
MJW22_04152015,MJW22/MJW22_150415_time_01_1,MJW22
NAV22_03292015,NAV22/NAV22_150329_time_01_1,natalia
ML23_04042015,ML23/ML23_150314_time_01_1,ML23_edited
EA23_02242015,EA23/EA23_150208_time_01_1,EA23_edited
JEW23_04242015,JEW23/JEW23_150322_time_01_1,JEW23
GB23_03152015,GB23/GB23_150301_time_01_1,GB23_edited
JP23_01102015,JP23/JP23_150210_time_01_2,JP23_edited
SL23_04052015,SL23/SL23_150321_time_01_1,SL23_edited
MW23_08042014,MW23/MW23_140720_time_01_1,MW23_edited
LB23_07292014,LB23/LB23_140706_time_01_1,LB23_T1w1_final
MBA24_03192015,MBA24/MBA24_150227_time_01_1,MBA24
TL24_04232015,TL24/TL24_150310_time_01_1,TL24_edited
JG24_01062014,JG24/JG24_140117_time_01_1,jesse_T1_4run_avg
AWMS24_08062014,AMWS24/AMWS24_140611_time_01_1,AWMS24_QMR
BM24_08022015,BM24/BM24_150726_time_01_1,BM24_edited
NC24_04162015,NC24/NC24_150321_time_01_1,NC24_edited
CB24_03212015,CB24/CB24_151102_time_01_1,CB24_edited
CR24_03282015,CR24/CR24_150307_time_01_1,CR24
AI24_04212015,AI24/AI24_150309_time_01_1,AI24_edited
AD25_02272015,AD25/AD25_150226_time_01_1,AD25_edited
JM25_03292015,JM25/JM25_150324_time_01_1,JM25_edited
MB26_01112015,MB26/MB26_150426_time_01_1,michaelb_QMR_4run_t1w
MC26_02262015,MC26/MC26_150211_time_01_1,MC26_edited
MMC27_04132015,MMC27/MMC27_150321_time_01_1,MMC27_edited
MSH28_04082015,MSH28/MSH28_150401_time_01_1,MSH28_edited
