distance,roipair,group,grouping_variable,subject
14.15718,faces,kids,domain,RHSA06_06292014
22.25116,faces,kids,domain,INW06_09212014
12.04103,faces,kids,domain,SM08_04172016
29.05992,faces,kids,domain,MDT09_07262014
16.81672,faces,kids,domain,LEE09_06242014
17.68682,faces,kids,domain,GEJA09_07262014
17.35047,faces,kids,domain,STM10_05112014-jesse
23.71032,faces,kids,domain,SERA10_06292014
18.24353,faces,kids,domain,KW10_03152015
14.17334,faces,kids,domain,NW10_04122015
20.70796,faces,kids,domain,RJM10_04252015
17.94556,faces,kids,domain,CGSA11_09072014
13.45029,faces,kids,domain,JTE11_06242014
20.96264,faces,kids,domain,JDB11_04012015
22.22658,faces,kids,domain,CS11_11052015
20.7374,faces,kids,domain,OS12_07292014
19.27382,words,kids,domain,RHSA06_06292014
28.19351,words,kids,domain,INW06_09212014
15.7813,words,kids,domain,SDS07_05112014
13.687,words,kids,domain,SM08_04172016
13.3492,words,kids,domain,LEE09_06242014
14.14924,words,kids,domain,GEJA09_07262014
21.51405,words,kids,domain,AG10_07192014
17.65501,words,kids,domain,SERA10_06292014
17.20667,words,kids,domain,KW10_03152015
19.5443,words,kids,domain,RJM10_04252015
26.21599,words,kids,domain,CGSA11_09072014
21.96612,words,kids,domain,MFC11_08172014
15.94882,words,kids,domain,JDB11_04012015
17.23382,words,kids,domain,LL11_07192015
22.6394,words,kids,domain,CS11_11052015
23.67179,words,kids,domain,CLC06_03232015
11.34066,FG4,kids,cyto,RHSA06_06292014
8.474823,FG4,kids,cyto,INW06_09212014
17.28545,FG4,kids,cyto,SM08_04172016
12.32521,FG4,kids,cyto,LEE09_06242014
18.44637,FG4,kids,cyto,GEJA09_07262014
10.4739,FG4,kids,cyto,AG10_07192014
13.46014,FG4,kids,cyto,STM10_05112014-jesse
13.91999,FG4,kids,cyto,SERA10_06292014
6.646939,FG4,kids,cyto,KW10_03152015
11.64479,FG4,kids,cyto,RJM10_04252015
2.588758,FG4,kids,cyto,AyS10_08152015
7.474875,FG4,kids,cyto,CGSA11_09072014
21.55608,FG4,kids,cyto,JTE11_06242014
12.27221,FG4,kids,cyto,JDB11_04012015
5.657066,FG4,kids,cyto,LL11_07192015
6.245832,FG4,kids,cyto,CS11_11052015
3.302173,FG4,kids,cyto,CLC06_03232015
7.012822,FG4,kids,cyto,RJ09_08172015
8.107896,FG2,kids,cyto,RHSA06_06292014
8.475296,FG2,kids,cyto,INW06_09212014
5.442786,FG2,kids,cyto,SM08_04172016
6.587092,FG2,kids,cyto,LEE09_06242014
12.29643,FG2,kids,cyto,GEJA09_07262014
14.57151,FG2,kids,cyto,SERA10_06292014
8.020037,FG2,kids,cyto,KW10_03152015
5.466383,FG2,kids,cyto,RJM10_04252015
4.378594,FG2,kids,cyto,CGSA11_09072014
12.19189,FG2,kids,cyto,MFC11_08172014
9.176792,FG2,kids,cyto,JDB11_04012015
12.45907,FG2,kids,cyto,CS11_11052015
9.105842,FG2,kids,cyto,OS12_07292014
