subject,sub_group
ZCM05,younger
MEC05,younger
RHSA06,younger
INW06,younger
AlS07,younger
SDS07,younger
SM08,younger
MDT09,younger
LEE09,younger
GEJA09,younger
DAPA10,older
AG10,older
STM10,older
SERA10,older
KW10,older
NW10,older
RJM10,older
AyS10,older
CGSA11,older
MFC11,older
JTE11,older
JDB11,older
LL11,older
CS11,older
OS12,older
CLC06,younger
RJ09,younger
KG22/KG22_150201_time_01_1,adult
CS22/CS22_150322_time_01_1,adult
JH22/JH22_150227_time_01_2,adult
MJW22/MJW22_150415_time_01_1,adult
NAV22/NAV22_150329_time_01_1,adult
ML23/ML23_150314_time_01_1,adult
EA23/EA23_150208_time_01_1,adult
JEW23/JEW23_150322_time_01_1,adult
GB23/GB23_150301_time_01_1,adult
JP23/JP23_150210_time_01_2,adult
SL23/SL23_150321_time_01_1,adult
MW23/MW23_140720_time_01_1,adult
LB23/LB23_140706_time_01_1,adult
MBA24/MBA24_150227_time_01_1,adult
TL24/TL24_150310_time_01_1,adult
JG24/JG24_140117_time_01_1,adult
AMWS24/AMWS24_140611_time_01_1,adult
BM24/BM24_150726_time_01_1,adult
NC24/NC24_150321_time_01_1,adult
CB24/CB24_151102_time_01_1,adult
CR24/CR24_150307_time_01_1,adult
AI24/AI24_150309_time_01_1,adult
AD25/AD25_150226_time_01_1,adult
JM25/JM25_150324_time_01_1,adult
MB26/MB26_150426_time_01_1,adult
MC26/MC26_150211_time_01_1,adult
MMC27/MMC27_150321_time_01_1,adult
MSH28/MSH28_150401_time_01_1,adult
